OBJECTID,stream_name,parkinson2005cu,run_timing_full,COL_H,latitude,longitude,coord_uncertainty,Comments/Alternate,coord_source,
27,OKANAGAN RIVER,Mid Columbia  Summer,Interior Summer,,49.08306,-119.51908,M,,ArcGIS world geocoding service ,
303,NAHMINT RIVER,W. Vancouver Is. Summer,Summer,,49.08431546,-124.9382961,H,,FWA Streams_Line_BC,
104,SERPENTINE RIVER,Boundary Bay Winter,Winter,,49.08686469,-122.8231304,H,,FWA Streams_Line_BC,
305,EFFINGHAM RIVER,W. Vancouver Is. Winter,Winter,,49.10158925,-125.2166481,H,,FWA Streams_Line_BC,
309,KENNEDY RIVER,W. Vancouver Is. Winter,Winter,,49.11092414,-125.6525461,H,,FWA Streams_Line_BC,
302,MACKTUSH CREEK,W. Vancouver Is. Summer,Summer,,49.11097955,-124.8291361,H,,FWA Streams_Line_BC,
251,CHASE RIVER,E. Vancouver Is. Winter,Winter,,49.13294,-123.91941,M,,ArcGIS world geocoding service ,
7,VEDDER - CHILLIWACK RIVE,L. Fraser Winter,Winter,,49.13298,-122.10258,M,,ArcGIS world geocoding service ,
297,CHINA CREEK,W. Vancouver Is. Summer,Summer,,49.14962,-124.8028,M,,ArcGIS world geocoding service ,
252,MILLSTONE RIVER,E. Vancouver Is. Winter,Winter,,49.16634,-123.93601,M,,ArcGIS world geocoding service ,
6,NORRISH CREEK,L. Fraser Winter,Winter,,49.17312368,-122.1417228,H,,FWA Streams_Line_BC,
310,CLAYOQUOT RIVER,W. Vancouver Is. Winter,Winter,,49.18375813,-125.5366764,H,,FWA Streams_Line_BC,
301,COUS CREEK,W. Vancouver Is. Summer,Summer,,49.18491508,-124.8315764,H,,FWA Streams_Line_BC,
4,KANAKA CREEK,L. Fraser Winter,Winter,,49.20313499,-122.5760948,H,,FWA Streams_Line_BC,
311,TRANQUIL CREEK,W. Vancouver Is. Winter,Winter,,49.22133099,-125.6646965,H,,FWA Streams_Line_BC,
8,SILVERHOPE CREEK,L. Fraser Summer,Summer,,49.23977019,-121.3881868,H,,FWA Streams_Line_BC,
3,ALOUETTE RIVER,L. Fraser Winter,Winter,,49.25437633,-122.6477408,H,,FWA Streams_Line_BC,
298,SOMASS RIVER,W. Vancouver Is. Summer,Summer,,49.26077391,-124.8303063,H,,FWA Streams_Line_BC,
1,COQUITLAM RIVER,L. Fraser Winter,Winter,,49.2617456,-122.7884958,H,,FWA Streams_Line_BC,
2,PITT RIVER,L. Fraser Winter,Winter,,49.28294056,-122.6943673,H,,FWA Streams_Line_BC,
313,CYPRE RIVER,W. Vancouver Is. Winter,Winter,,49.29926538,-125.9169893,H,,FWA Streams_Line_BC,
14,CHEHALIS RIVER,L. Fraser Winter,Winter,,49.31002927,-121.9579497,H,,FWA Streams_Line_BC,
